"Location","Placement","Serial Number","Inspection Date","Inspector Name","Problems"
"Brentwood Office","Harvard's Office ","A08G-56402","05/03/2011","Mickey Mouse",""
"Brentwood Office","Harvard's Office ","A08G-56402","03/07/2011","Mickey Mouse","AED sign damaged"
"Brentwood Office","Harvard's Office ","A08G-56402","03/07/2011","Mickey Mouse",""
"Brentwood Office","Harvard's Office ","A08G-56402","10/18/2010","Mickey Mouse",""
"Brentwood Office","Harvard's Office ","A08G-56402","10/06/2010","Mickey Mouse",""
"Brentwood Office","Harvard's Office ","A08G-56402","10/05/2010","Mickey Mouse","Used on Donald Duck 12/25/10"
"Brentwood Office","Harvard's Office ","A08G-56402","09/23/2010","Chet Hendrickson",""
"Brentwood Office","Harvard's Office ","A08G-56402","09/16/2010","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","09/07/2010","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","07/20/2010","David Robertson","Battery needs replacing soon"
"Brentwood Office","Harvard's Office ","A08G-56402","07/12/2010","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","07/06/2010","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","05/14/2010","Mickey Mouse",""
"Brentwood Office","Harvard's Office ","A08G-56402","04/06/2010","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","03/01/2010","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","02/01/2010","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","10/15/2009","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","09/11/2009","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","06/21/2009","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","06/17/2009","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","06/04/2009","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","05/21/2009","David Robertson",""
"Brentwood Office","Harvard's Office ","A08G-56402","05/08/2009","Brian Hanson",""
"Brentwood Office","Harvard's Office ","A08G-56402","05/08/2009","Lyndi Skelley",""
"Brentwood Office","Harvard's Office ","A08G-56402","05/08/2009","Lyndi Skelley",""
"Brentwood Office","In Main Lobby Area","sdfsdfs123","03/07/2011","Lyndi Skelley",""
"Brentwood Office","In Main Lobby Area","sdfsdfs123","09/11/2009","Lyndi Skelley",""
"Brentwood Office","In Main Lobby Area","sdfsdfs123","05/08/2009","Lyndi Skelley",""
"Brentwood Office","In Main Lobby Area","sdfsdfs123","05/08/2009","Lyndi Skelley",""
"Brentwood Office","In Main Lobby Area","sdfsdfs123","03/05/2009","Kimberly Winston",""
"Brentwood Office","In Main Lobby Area","sdfsdfs123","01/31/2009","Robert Jones",""
"Brentwood Office","In Main Lobby Area","sdfsdfs123","12/18/2008","Bob Jones","Unit beeping - re-installed battery - unit o.k."
"Brentwood Office","In Main Lobby Area","sdfsdfs123","11/26/2008","Bob Jones",""
